Index,Timestamp,lat,long,Obs1_bird_dist,Shoot_bird_dist,Habitat_Primary,Habitat_Under_Dom1,Habitat_Under_Dom2,SocialGroup,Target,TarSpp,Scientific,BirdTree,Alarm_Presence,Alarm_Qty,Alarm_Spp,Alarm_Sex,Alarm_Conspecific,abundance,richness,Angle,Tar_Sex,Proximity,alarm,Audio_React,Flight_dist,Flight_apex,Flight_proximity,Pre_Bird_Height,Forage_Tree_height,Veg_dense_under,Veg_Under_Avg,Veg_under_height,Pre_Bird_Dense,Bird_Dense_Avg,Pre_Vocal,Pre_Behav,Mid_Vocal,Mid_Behav,Post_Vocal,Post_Behav,Freeze_Time_sec,Post_Dist,Post_Bird_Height,Post_Bird_Dense,Post_Dense_Avg,Veg_mid_low,Veg_mid_high,Veg_can_low,Veg_can_high,Rad_01,Rad_02,Rad_03,Rad_04,Rad_05,Rad_06,Rad_07,Rad_08,Rad_09,Rad_10,Rad_10_Avg,flock
123,230720-091827,na,na,na,na,na,na,na,msf,1,sche,,,,,,,,,,na,m,na,,na,na,na,na,na,na,na,#VALUE!,4,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,10,10,16,na,na,na,na,na,na,na,na,na,na,0,na
124,230720-091827,na,na,na,na,na,na,na,msf,1,myhy,,,,,,,,,,na,f,na,,na,na,na,na,na,na,na,#VALUE!,4,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,10,10,16,na,na,na,na,na,na,na,na,na,na,0,na
125,230721-073705,-12.53227,-69.00964,6,na,na,na,na,solo,1,myhy,,,0,0,none,n,0,1,1,na,m,na,,q,19,3,2,1,2,1111,1,4,2111,1.25,call,glean,quiet,dv,quiet,u,0,12,0,3232,2.5,7,18,25,33,1,2,3,2,4,3,2,2,1,1,2.1,na
128,230722-071909,-12.531684,-69.008101,6,na,na,na,na,lek,1,pifa,,,0,0,none,n,0,5,1,na,m,na,,q,19,4,2,3,8,2333,2.75,5,0043,1.75,call,lek,quiet,dv,call,lek,0,12,3,3433,3.25,11,13,13,21,4,4,2,2,1,1,2,0,1,1,1.8,na
129,230722-071909,na,na,na,na,na,na,na,lek,1,pifa,,,,,,,,,,na,m,na,,na,na,na,na,na,na,na,#VALUE!,5,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,11,13,13,21,na,na,na,na,na,na,na,na,na,na,0,na
130,230722-071909,na,na,na,na,na,na,na,lek,1,pifa,,,,,,,,,,na,m,na,,na,na,na,na,na,na,na,#VALUE!,5,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,11,13,13,21,na,na,na,na,na,na,na,na,na,na,0,na
131,230722-071909,na,na,na,na,na,na,na,lek,1,pifa,,,,,,,,,,na,m,na,,na,na,na,na,na,na,na,#VALUE!,5,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,11,13,13,21,na,na,na,na,na,na,na,na,na,na,0,na
132,230722-071909,na,na,na,na,na,na,na,lek,1,pifa,,,,,,,,,,na,f,na,,na,na,na,na,na,na,na,#VALUE!,5,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,11,13,13,21,na,na,na,na,na,na,na,na,na,na,0,na
133,230722-100956,-12.53200,-69.00079,13,na,na,na,na,pair,1,tasc,,,0,0,none,n,0,2,1,na,m,na,,q,18,6,2,7,15,3211,1.75,4,3312,2.25,call,forage,quiet,dv,call,Sit_vs,0,4,7,4322,2.75,10,16,18,26,3,3,4,4,2,2,3,3,2,2,2.8,na
134,230722-100956,-12.53200,-69.00079,13,na,na,na,na,pair,1,tasc,,,,,,,,,,na,f,na,,na,na,na,na,na,na,na,#VALUE!,4,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,10,16,18,26,na,na,na,na,na,na,na,na,na,na,0,na
