na,Timestamp,lat,long,obs1,Obs1_bird_dist,shooter,Shoot_bird_dist,obs2,Obs2_bird_dist,hwk,Habitat_Primary,Habitat_Under_Dom1,Habitat_Under_Dom2,Basal Area 10m,Dbh_largest,AudioID,VisualID,SocialGroup,Target,Spp,Scientific,BirdTree,Angle,Sex,Proximity,Audio_React,Flight_dist,Flight_apex,Flight_proximity,Pre_Bird_Height,Forage_Tree_height,Veg_dense_under,Veg_under_height,Pre_Bird_Dense,Pre_Vocal,Pre_Behav,Mid_Vocal,"Mid ,Behav",Post_Vocal,Post_Behav,Freeze_Time_sec,Post_Dist (Dive_Dist),Post_Bird_Height,Post_Bird_Dense,Veg_mid_low,Veg_mid_high,Veg_can_low,Veg_can_high,5m_dense,Rad_01,Rad_02,Rad_03,Rad_04,Rad_05,Rad_06,Rad_07,Rad_08,Rad_09,Rad_10,Notes,Behav_notes,Veg_dense_mid,Veg_under_low,Veg_notes,zoom_wav,voice_record_wav,Rec_reviewed,Recording_Notes,selection,call_type,AlarmExport,alarm,flock
23,230709-061134,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7.5,8.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
24,230709-061134,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,myax,Myrmotherula axillaris,Myrmotherula axillaris,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7.5,8.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
25,230709-061134,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7.5,8.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
26,230709-080512,-12.53811,-69.00073,VLW,9.4,AL,9.6,na,na,1,na,na,na,na,na,na,1,msf,0,tasc,Tangara schrankii,Tangara schrankii,na,U,na,a,16.3,5,1,4,na,1111,na,1122,call,sit,alarm,dv,call,sit,na,8.8,na,2222,8.5,12.9,16.2,na,na,na,na,na,na,na,na,na,na,na,na,na,the bird made an aggitated quick series of strong notes right when it dove. Not an actual alarm most likely.,na,na,na,ZOOM0146_Tr1.WAV,na,na,na,na,na,230709_080512_Tangara_schrankii_u_a.wav,1,na
27,230709-080512,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.5,12.9,16.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
28,230709-080512,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,trochilidae,#N/A,#N/A,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.5,12.9,16.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
29,230709-080512,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.5,12.9,16.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
30,230709-080512,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,haru,Habia rubica,Habia rubica,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.5,12.9,16.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
31,230709-084511,-12.538537,-68.999314,VW,4,AL,4,na,na,1,na,na,na,na,na,na,1,msf,0,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,na,M,na,a,8,3,2,1,na,2223,na,1122,alarm,sit,alarm,dv,alarm,hide,na,8,na,3444,6.3,10.1,13.6,na,na,na,na,na,na,na,na,na,na,na,na,na,"This is the Holy Grail recording where the Fasciated Antshrike was killing and eating a snake and this MYLE was going off with a hissing alarm. I thought we could launch the hawk when It perched up on a branch pretty much exposed, but the jungle had it’s own plans for the flight, and it pretty much went straight into the vines and leaves. However, the bird reacted by diving and made an agitated, rapid series of calls in response nonetheless.",na,na,many vines and beside a riverine habitat,ZOOM0149_Tr1.WAV,na,na,na,na,na,230709_084511_Myrmoborus_leucophrys_m_a.wav,1,na
32,230709-084511,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,cyli,Cymbilaimus lineatus,Cymbilaimus lineatus,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6.3,10.1,13.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
