na,Timestamp,lat,long,obs1,Obs1_bird_dist,shooter,Shoot_bird_dist,obs2,Obs2_bird_dist,hwk,Habitat_Primary,Habitat_Under_Dom1,Habitat_Under_Dom2,Basal Area 10m,Dbh_largest,AudioID,VisualID,SocialGroup,Target,Spp,Scientific,BirdTree,Angle,Sex,Proximity,Audio_React,Flight_dist,Flight_apex,Flight_proximity,Pre_Bird_Height,Forage_Tree_height,Veg_dense_under,Veg_under_height,Pre_Bird_Dense,Pre_Vocal,Pre_Behav,Mid_Vocal,"Mid ,Behav",Post_Vocal,Post_Behav,Freeze_Time_sec,Post_Dist (Dive_Dist),Post_Bird_Height,Post_Bird_Dense,Veg_mid_low,Veg_mid_high,Veg_can_low,Veg_can_high,5m_dense,Rad_01,Rad_02,Rad_03,Rad_04,Rad_05,Rad_06,Rad_07,Rad_08,Rad_09,Rad_10,Notes,Behav_notes,Veg_dense_mid,Veg_under_low,Veg_notes,zoom_wav,voice_record_wav,Rec_reviewed,Recording_Notes,selection,call_type,AlarmExport,alarm,flock
450,240621-070340,-12.5290,-69.0154,na,11,na,11,na,na,1,Secundario,Heliconias,arboles,na,na,0,1,solo,na,deme,Dendrocincla merula,Dendrocincla merula,na,u,3,q,na,na,na,4,14,3423,na,0110,q,gl,q,hd,c,vig,0:40,0,4,0110,na,na,na,na,na,3,3,2,1,2,2,1,1,1,1,hid behind tre and peered around w/ head. just went right around backof the tr from where it was,na,na,na,na,na,na,na,na,na,na,na,0,na
451,240621-072937,-12.5290,-69.0155,na,9,na,9,na,na,1,Secundario,Heliconias,arboles,na,na,0,1,ant,na,phni,Phlegopsis nigromaculata,Phlegopsis nigromaculata,na,u,5,q,na,na,na,3,6,2312,na,0121,q,vig,q,fz,s,vig,0:56,0,3,0121,na,na,na,na,na,3,3,2,3,3,3,2,2,1,1,moved had a littl but didnt change body position in fz. even w/ al other birds close no react from any. selfish.,na,na,na,na,na,na,na,na,na,na,na,0,na
452,240621-072937,-12.5290,-69.0155,na,9,na,9,na,na,1,Secundario,Heliconias,arboles,na,na,0,1,ant,na,phni,Phlegopsis nigromaculata,Phlegopsis nigromaculata,na,u,8,q,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
453,240621-072937,-12.5290,-69.0155,na,9,na,9,na,na,1,Secundario,Heliconias,arboles,na,na,0,1,ant,na,deme,Dendrocincla merula,Dendrocincla merula,na,u,3,q,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
454,240621-072937,-12.5290,-69.0155,na,9,na,9,na,na,1,Secundario,Heliconias,arboles,na,na,0,1,ant,na,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,na,m,9,q,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
455,240621-072937,-12.5290,-69.0155,na,9,na,9,na,na,1,Secundario,Heliconias,arboles,na,na,0,1,ant,na,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,na,f,8,q,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
456,240621-072937,-12.5290,-69.0155,na,9,na,9,na,na,1,Secundario,Heliconias,arboles,na,na,0,1,ant,na,cyar,Cyphorhinus arada,Cyphorhinus arada,na,u,6,q,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
457,240621-083745,-12.5315,-69.0153,na,14,na,14,na,na,1,Secundario,Heliconias,Lianas,na,na,0,1,lek,na,pifa,Pipra fasciicauda,Pipra fasciicauda,na,m,7,q,na,na,na,2,5,3213,na,3313,q,lek,q,fz,q,fz,7:26,0,2,3313,na,na,na,na,na,4,3,4,4,1,1,0,0,0,0,moving had a little but focusd on direction of hwk. no body movement,na,na,na,na,na,na,na,na,na,na,na,0,na
458,240621-083745,-12.5315,-69.0153,na,14,na,14,na,na,1,Secundario,Heliconias,Lianas,na,na,0,1,lek,na,pifa,Pipra fasciicauda,Pipra fasciicauda,na,m,14,q,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
459,240621-091842,-12.5323,-69.0174,na,9,na,9,na,na,1,Secundario,Lianas,Arboles,na,na,0,1,pair,na,plco,Platyrinchus coronatus,Platyrinchus coronatus,na,u,3,q,na,na,na,3,13,1021,na,1111,s,sally,q,fz,q,sally,0:10,0,3,1111,na,na,na,na,na,1,1,2,1,3,3,1,1,1,1,looked at whr the hwk landed w/ left eye then moved on with foraging,na,na,na,na,na,na,na,na,na,na,na,0,na
460,240621-091842,-12.5323,-69.0174,na,9,na,9,na,na,1,Secundario,Lianas,Arboles,na,na,0,1,pair,na,plco,Platyrinchus coronatus,Platyrinchus coronatus,na,u,7,q,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
461,240621-095622,-12.5331,-69.0176,na,10,na,9,na,na,1,Secundario,Arboles,Lianas,na,na,0,1,solo,na,hyma,Hypocnemoides maculicauda,Hypocnemoides maculicauda,na,u,3,q,na,na,na,1,3,2222,na,1221,c,gl,q,dv,q,fz,rec,3,0,2222,na,na,na,na,na,2,2,1,1,2,2,1,1,1,1,"fz on log when i thought dove out of sight. no time unfortunately, but check rec. it was spooked when retrieving hwk",na,na,na,na,na,na,na,na,na,na,na,0,na
462,240621-104329,-12.5337,-69.0159,na,18,na,18,na,na,1,Swamp,Arboles,Lianas,na,na,1,1,msf,na,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,na,m,6,a,na,na,na,9,13,1001,na,0101,c,vig,a,vs,c,dv,0,4,9,2101,na,na,na,na,na,1,2,1,1,2,1,2,1,1,3,post calling was greatly increased in rate and types,na,na,na,na,na,na,na,na,na,na,na,1,na
463,240621-104329,-12.5337,-69.0159,na,18,na,18,na,na,1,Swamp,Arboles,Lianas,na,na,1,1,msf,na,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,na,f,3,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
464,240621-104329,-12.5337,-69.0159,na,18,na,18,na,na,1,Swamp,Arboles,Lianas,na,na,1,1,msf,na,myax,Myrmotherula axillaris,Myrmotherula axillaris,na,m,5,c,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
465,240621-104329,-12.5337,-69.0159,na,18,na,18,na,na,1,Swamp,Arboles,Lianas,na,na,1,1,msf,na,myax,Myrmotherula axillaris,Myrmotherula axillaris,na,f,7,c,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
466,240621-104329,-12.5337,-69.0159,na,18,na,18,na,na,1,Swamp,Arboles,Lianas,na,na,1,1,msf,na,xigu,Xiphorhynchus guttatus,Xiphorhynchus guttatus,na,u,10,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
467,240621-104329,-12.5337,-69.0159,na,18,na,18,na,na,1,Swamp,Arboles,Lianas,na,na,1,1,msf,na,cale,Cantorchilus leucotis ,Thryothorus leucotis,na,u,9,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
468,240621-104329,-12.5337,-69.0159,na,18,na,18,na,na,1,Swamp,Arboles,Lianas,na,na,1,1,msf,na,thsc,Thamnophilus schistaceus,Thamnophilus schistaceus,na,u,12,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
469,240621-104329,-12.5337,-69.0159,na,18,na,18,na,na,1,Swamp,Arboles,Lianas,na,na,1,1,msf,na,thsc,Thamnophilus schistaceus,Thamnophilus schistaceus,na,m,12,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
470,240621-104329,-12.5337,-69.0159,na,18,na,18,na,na,1,Swamp,Arboles,Lianas,na,na,1,1,msf,na,cyli,Cymbilaimus lineatus,Cymbilaimus lineatus,na,m,9,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
471,240621-104329,-12.5337,-69.0159,na,18,na,18,na,na,1,Swamp,Arboles,Lianas,na,na,1,1,msf,na,papo,Pachyramphus polychopterus,Pachyramphus polychopterus,na,m,6,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
472,240622-090837,-12.5282,-69.0087,na,11,na,11,na,na,1,Secundario,Heliconias,Palmeras,na,na,1,1,pair,na,phpy,Philydor pyrrhodes,Philydor pyrrhodes,na,u,3,c,na,na,na,5,7,3342,na,0143,c,gl,c,dv,c,vig,0,4,4,1232,na,na,na,na,na,4,3,2,2,3,3,4,3,2,1,flew to pair calling slightly aggitated,na,na,na,na,na,na,na,na,na,na,na,0,na
473,240622-090837,-12.5282,-69.0087,na,11,na,11,na,na,1,Secundario,Heliconias,Palmeras,na,na,1,1,pair,na,phpy,Philydor pyrrhodes,Philydor pyrrhodes,na,u,5,c,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
474,240622-100340,-12.5285,-69.0086,na,3,na,4,na,na,1,Secundario,Heliconias,Lianas,na,na,1,1,solo,na,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,na,m,3,a,na,na,na,0,0,1111,na,1111,c,forage dead leaf ground,a,dv,c,vig,0,4,1,3211,na,na,na,na,na,2,3,1,1,2,2,2,2,2,2,msf nearby flew away and went silent after alarm,na,na,na,na,na,na,na,na,na,na,na,1,na
475,240622-102334,-12.5286,-69.0080,na,7,na,7,na,na,1,Secundario,Heliconias,Lianas,na,na,0,1,msf,na,myax,Myrmotherula axillaris,Myrmotherula axillaris,na,m,2,q,na,na,na,4,5,3321,na,1023,c,gl,q,dv,q,vig,0,1,4,3311,na,na,na,na,na,4,4,4,3,2,1,0,0,0,0,thar alarmed at hwk. myax hid/dove in cover but started foraging shortly after,na,na,na,na,na,na,na,na,na,na,na,0,na
476,240622-102334,-12.5286,-69.0080,na,7,na,7,na,na,1,Secundario,Heliconias,Lianas,na,na,0,1,msf,na,myax,Myrmotherula axillaris,Myrmotherula axillaris,na,f,4,q,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
477,240622-102334,-12.5286,-69.0080,na,7,na,7,na,na,1,Secundario,Heliconias,Lianas,na,na,0,1,msf,na,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,na,f,3,q,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
478,240622-102334,-12.5286,-69.0080,na,7,na,7,na,na,1,Secundario,Heliconias,Lianas,na,na,0,1,msf,na,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,na,m,8,c,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
479,240622-102334,-12.5286,-69.0080,na,7,na,7,na,na,1,Secundario,Heliconias,Lianas,na,na,0,1,msf,na,phpy,Philydor pyrrhodes,Philydor pyrrhodes,na,u,6,q,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
480,240622-102334,-12.5286,-69.0080,na,7,na,7,na,na,1,Secundario,Heliconias,Lianas,na,na,0,1,msf,na,cyli,Cymbilaimus lineatus,Cymbilaimus lineatus,na,m,13,s,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
481,240622-102334,-12.5286,-69.0080,na,7,na,7,na,na,1,Secundario,Heliconias,Lianas,na,na,0,1,msf,na,catu,Campylorhynchus turdinus,Campylorhynchus turdinus,na,u,14,q,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
482,240622-102334,-12.5286,-69.0080,na,7,na,7,na,na,1,Secundario,Heliconias,Lianas,na,na,0,1,msf,na,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,na,m,5,c,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
483,240622-102334,-12.5286,-69.0080,na,7,na,7,na,na,1,Secundario,Heliconias,Lianas,na,na,0,1,msf,na,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,na,f,8,q,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
484,240622-102334,-12.5286,-69.0080,na,7,na,7,na,na,1,Secundario,Heliconias,Lianas,na,na,0,1,msf,na,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,na,u,6,a,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na
485,240624-070213,-12.5318,-69.0153,na,8,na,8,na,na,1,Secundario,Heliconias,Lianas,na,na,0,1,lek,na,pifa,Pipra fasciicauda,Pipra fasciicauda,na,m,2,q,na,na,na,3,5,3423,na,3321,q,"lek, fight",q,dv,q,u,0,9,2,3322,na,na,na,na,na,4,3,2,2,3,3,2,1,1,1,pifa m fight one dove off q the other also dove away but made some interesting calls. no activity from lek for 9:16 after. MYHY were q,na,na,na,na,na,na,na,find the calls,na,na,na,0,na
486,240624-070213,-12.5318,-69.0153,na,8,na,8,na,na,1,Secundario,Heliconias,Lianas,na,na,0,1,lek,na,pifa,Pipra fasciicauda,Pipra fasciicauda,na,m,3,c,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
487,240624-070213,-12.5318,-69.0153,na,8,na,8,na,na,1,Secundario,Heliconias,Lianas,na,na,0,1,lek,na,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,na,m,6,q,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
488,240624-070213,-12.5318,-69.0153,na,8,na,8,na,na,1,Secundario,Heliconias,Lianas,na,na,0,1,lek,na,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,na,f,6,q,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
489,240624-074119,-12.5320,-69.0164,na,6,na,6,na,na,1,Secundario,Lianas,Shrub,na,na,1,1,pair,na,hyma,Hypocnemoides maculicauda,Hypocnemoides maculicauda,na,u,3,c,na,na,na,0,3,2222,na,2221,c,"gl, hop",c,dv,c,move to pair,0,1,0,3222,na,na,na,na,na,3,4,3,1,1,1,1,1,1,1,tar made a more rapid 2 note call than ive heard. also a whine call that's new once near pair. otherwise unphased,na,na,na,na,na,na,na,na,na,na,na,0,na
490,240624-074119,-12.5320,-69.0164,na,6,na,6,na,na,1,Secundario,Lianas,Shrub,na,na,1,1,pair,na,hyma,Hypocnemoides maculicauda,Hypocnemoides maculicauda,na,u,5,q,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
491,240624-081645,-12.5325,-69.0180,na,7,na,7,na,na,1,Secundario,Liana,sShrub,na,na,1,1,pair,na,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,na,m,2,a,na,na,na,1,2,1123,na,1112,c,vig,a,dv,a,move to pair,0,4,1,3321,na,na,na,na,na,3,3,2,1,2,2,2,1,1,1,made single fright call then a doubled call very shortly after first dive. very similar to what i have hard before w/ hwk. cale no interaction independent,na,na,na,na,na,na,na,na,na,na,na,1,na
492,240624-081645,-12.5325,-69.0180,na,7,na,7,na,na,1,Secundario,Liana,sShrub,na,na,1,1,pair,na,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,na,f,3,q,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
493,240624-081645,-12.5325,-69.0180,na,7,na,7,na,na,1,Secundario,Liana,sShrub,na,na,1,1,pair,na,cale,Cantorchilus leucotis ,Thryothorus leucotis,na,u,8,s,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
494,240624-083342,-12.5325,-69.0180,na,7,na,7,na,na,1,Secundario,Lianas,Shrub,na,na,0,1,solo,na,trcu,Trogon curucui,Trogon curucui,na,m,2,q,na,na,na,3,5,4323,na,0003,c,vig,q,dv,c,vig,0,4,8,2210,na,na,na,na,na,3,3,2,2,1,1,2,2,1,1,myax were behind very dense veg relative to trcu,na,na,na,na,na,na,na,na,na,na,na,0,na
495,240624-083342,-12.5325,-69.0180,na,7,na,7,na,na,1,Secundario,Lianas,Shrub,na,na,0,1,pair,na,myax,Myrmotherula axillaris,Myrmotherula axillaris,na,m,6,q,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
496,240624-083342,-12.5325,-69.0180,na,7,na,7,na,na,1,Secundario,Lianas,Shrub,na,na,0,1,pair,na,myax,Myrmotherula axillaris,Myrmotherula axillaris,na,f,8,q,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
497,240624-093426,-12.5347,-69.0217,na,11,na,11,na,na,1,Secundario,Shrub,Arboles,na,na,1,1,pair,na,mylo,Myrmotherula longipennis,Myrmotherula longipennis,na,f,3,c,na,na,na,3,5,2101,na,2211,c,gl,c,fz,c,"vig, contact calls",1:06,0,3,2211,na,na,na,na,na,2,2,1,2,3,3,1,2,1,1,PHHI gave loud call and went to check hwk. mylo f called conact fz calling back and forth to m. thar heard but far. i think pair.,na,na,na,na,na,na,na,na,na,na,na,0,na
498,240624-093426,-12.5347,-69.0217,na,11,na,11,na,na,1,Secundario,Shrub,Arboles,na,na,1,1,pair,na,mylo,Myrmotherula longipennis,Myrmotherula longipennis,na,m,4,c,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
499,240624-093426,-12.5347,-69.0217,na,11,na,11,na,na,1,Secundario,Shrub,Arboles,na,na,1,1,pair,na,phhi,phaethornis hispidus,phaethornis hispidus,na,m,4,c,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
500,240624-093426,-12.5347,-69.0217,na,11,na,11,na,na,1,Secundario,Shrub,Arboles,na,na,1,1,pair,na,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,na,u,22,c,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
501,240624-093426,-12.5347,-69.0217,na,11,na,11,na,na,1,Secundario,Shrub,Arboles,na,na,1,1,pair,na,plco,Platyrinchus coronatus,Platyrinchus coronatus,na,u,11,s,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
502,240624-093426,-12.5347,-69.0217,na,11,na,11,na,na,1,Secundario,Shrub,Arboles,na,na,1,1,pair,na,plco,Platyrinchus coronatus,Platyrinchus coronatus,na,u,12,s,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
503,240624-100616,-12.5350,-69.0222,na,13,na,14,na,na,1,Secundario,Palmeras,Arboles,na,na,1,1,msf,na,mylo,Myrmotherula longipennis,Myrmotherula longipennis,na,m,4,a,na,na,na,4,15,2311,na,0110,c,gl,a,dv,c,vig,0,7,4,3211,na,na,na,na,na,3,2,2,2,1,1,1,3,3,2,mylo m alarm and T. schisteaceus? Thar fz 6 min 7 was in view of hwk. msf calls didn't resume until it moved.,na,na,na,na,na,na,na,na,na,na,na,1,na
504,240624-100616,-12.5350,-69.0222,na,13,na,14,na,na,1,Secundario,Palmeras,Arboles,na,na,1,1,msf,na,mylo,Myrmotherula longipennis,Myrmotherula longipennis,na,f,8,c,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
505,240624-100616,-12.5350,-69.0222,na,13,na,14,na,na,1,Secundario,Palmeras,Arboles,na,na,1,1,msf,na,myax,Myrmotherula axillaris,Myrmotherula axillaris,na,m,8,c,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
506,240624-100616,-12.5350,-69.0222,na,13,na,14,na,na,1,Secundario,Palmeras,Arboles,na,na,1,1,msf,na,myax,Myrmotherula axillaris,Myrmotherula axillaris,na,m,8,c,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
507,240624-100616,-12.5350,-69.0222,na,13,na,14,na,na,1,Secundario,Palmeras,Arboles,na,na,1,1,msf,na,myax,Myrmotherula axillaris,Myrmotherula axillaris,na,f,10,c,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
508,240624-100616,-12.5350,-69.0222,na,13,na,14,na,na,1,Secundario,Palmeras,Arboles,na,na,1,1,msf,na,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,na,m,16,u,na,na,na,na,na,na,na,na,na,na,q,fz,na,na,6:00,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
509,240624-100616,-12.5350,-69.0222,na,13,na,14,na,na,1,Secundario,Palmeras,Arboles,na,na,1,1,msf,na,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,na,f,16,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
510,240624-164255,-12.5288,-69.0156,na,8,na,7,na,na,1,Secundario,Heliconias,Shrub,na,na,1,1,pair,na,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,na,m,2,c,na,na,na,3,5,3222,na,0334,c,vig,c,"dv, fz",c,move to pair,0:30,2,2,3432,na,na,na,na,na,3,3,3,3,4,2,1,1,1,1,continued calling. stayed in safety for 30 sec then flew to f. both called aggitated for a bit,na,na,na,na,na,na,na,na,na,na,na,0,na
511,240624-164255,-12.5288,-69.0156,na,8,na,7,na,na,1,Secundario,Heliconias,Shrub,na,na,1,1,pair,na,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,na,f,6,c,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
512,240624-172852,-12.2852,-69.0161,na,7,na,7,na,na,1,Secundario,Arboles,Heliconias,na,na,0,1,pair,na,draf,Dryobates affinis,Veniliornis affinis,na,m,1,q,na,na,na,6,10,2201,na,1000,c,nest approach,q,hd,q,nest enter,rec,0,6,1000,na,na,na,na,na,2,2,3,2,1,1,1,1,1,1,m approached nest w/ f (poking head out). hwk had f dive from nest and m went around trunk exactly opposite of hwk and stayed for ~2min poking it's head around slowly. eventually f returned and both entered cavity.,na,na,na,na,na,na,na,na,na,na,na,0,na
513,240624-172852,-12.2852,-69.0161,na,7,na,7,na,na,1,Secundario,Arboles,Heliconias,na,na,0,1,pair,na,draf,Dryobates affinis,Veniliornis affinis,na,f,1,q,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
514,240625-074901,-12.5324,-69.0119,na,13,na,14,na,na,1,Secundario,heliconias,Arboles,na,na,1,1,pair,na,sche,Sciaphylax hemimelaena,Myrmeciza hemimelaena,na,f,1,a,na,na,na,1,9,3222,na,1233,c,gl,a,dv,c,move to pair,0,1,0,3323,na,na,na,na,na,3,2,1,1,2,2,2,2,1,1,"f gave quick calls while hwk in flight, then similar calls from pair after",na,na,na,na,na,na,na,na,na,na,na,1,na
